Id,Color,LineName,Line
A01,#ec6e65,Asakusa Line,A
A02,#ec6e65,Asakusa Line,A
A03,#ec6e65,Asakusa Line,A
A04,#ec6e65,Asakusa Line,A
A05,#ec6e65,Asakusa Line,A
A06,#ec6e65,Asakusa Line,A
A07,#ec6e65,Asakusa Line,A
A08,#ec6e65,Asakusa Line,A
A09,#ec6e65,Asakusa Line,A
A10,#ec6e65,Asakusa Line,A
A11,#ec6e65,Asakusa Line,A
A12,#ec6e65,Asakusa Line,A
A13,#ec6e65,Asakusa Line,A
A14,#ec6e65,Asakusa Line,A
A15,#ec6e65,Asakusa Line,A
A16,#ec6e65,Asakusa Line,A
A17,#ec6e65,Asakusa Line,A
A18,#ec6e65,Asakusa Line,A
A19,#ec6e65,Asakusa Line,A
A20,#ec6e65,Asakusa Line,A
C01,#009944,Chiyoda Line,C
C02,#009944,Chiyoda Line,C
C03,#009944,Chiyoda Line,C
C04,#009944,Chiyoda Line,C
C05,#009944,Chiyoda Line,C
C06,#009944,Chiyoda Line,C
C07,#009944,Chiyoda Line,C
C08,#009944,Chiyoda Line,C
C09,#009944,Chiyoda Line,C
C10,#009944,Chiyoda Line,C
C11,#009944,Chiyoda Line,C
C12,#009944,Chiyoda Line,C
C13,#009944,Chiyoda Line,C
C14,#009944,Chiyoda Line,C
C15,#009944,Chiyoda Line,C
C16,#009944,Chiyoda Line,C
C17,#009944,Chiyoda Line,C
C18,#009944,Chiyoda Line,C
C19,#009944,Chiyoda Line,C
C20,#009944,Chiyoda Line,C
E01,#8b008b,Ōedo Line,E
E02,#8b008b,Ōedo Line,E
E03,#8b008b,Ōedo Line,E
E04,#8b008b,Ōedo Line,E
E05,#8b008b,Ōedo Line,E
E06,#8b008b,Ōedo Line,E
E07,#8b008b,Ōedo Line,E
E08,#8b008b,Ōedo Line,E
E09,#8b008b,Ōedo Line,E
E10,#8b008b,Ōedo Line,E
E11,#8b008b,Ōedo Line,E
E12,#8b008b,Ōedo Line,E
E13,#8b008b,Ōedo Line,E
E14,#8b008b,Ōedo Line,E
