Id,Color,LineName,Line
Tucuruvi,#5595c0,Azul,1
Parada Inglesa,#5595c0,Azul,1
Jardim São Paulo - Ayrton Senna,#5595c0,Azul,1
Santana,#5595c0,Azul,1
Carandiru,#5595c0,Azul,1
Portuguesa-Tietê (ex Tietê),#5595c0,Azul,1
Armênia (ex Ponte Pequena),#5595c0,Azul,1
Tiradentes,#5595c0,Azul,1
Luz,#5595c0,Azul,1
São Bento,#5595c0,Azul,1
Sé,#5595c0,Azul,1
Japão - Liberdade,#5595c0,Azul,1
São Joaquim,#5595c0,Azul,1
Vergueiro,#5595c0,Azul,1
Paraíso,#5595c0,Azul,1
Ana Rosa,#5595c0,Azul,1
Vila Mariana,#5595c0,Azul,1
Santa Cruz,#5595c0,Azul,1
Praça da Árvore,#5595c0,Azul,1
Saúde,#5595c0,Azul,1
São Judas,#5595c0,Azul,1
Conceição,#5595c0,Azul,1
Jabaquara,#5595c0,Azul,1
Vila Madalena,#56aab2,Verde,2
Sumaré,#56aab2,Verde,2
Clínicas,#56aab2,Verde,2
Consolação,#56aab2,Verde,2
Trianon-Masp,#56aab2,Verde,2
Brigadeiro,#56aab2,Verde,2
Chácara Klabin,#56aab2,Verde,2
Santos-Imigrantes,#56aab2,Verde,2
Alto do Ipiranga,#56aab2,Verde,2
Sacomã,#56aab2,Verde,2
Tamanduateí,#56aab2,Verde,2
Vila Prudente,#56aab2,Verde,2
Palmeiras-Barra Funda,#e33f35,Vermelha,3
Marechal Deodoro,#e33f35,Vermelha,3
Santa Cecília,#e33f35,Vermelha,3
República,#e33f35,Vermelha,3
Anhangabaú,#e33f35,Vermelha,3
Pedro II,#e33f35,Vermelha,3
Brás,#e33f35,Vermelha,3
Bresser-Mooca,#e33f35,Vermelha,3
Belém,#e33f35,Vermelha,3
Tatuapé,#e33f35,Vermelha,3
Carrão,#e33f35,Vermelha,3
Penha,#e33f35,Vermelha,3
Vila Matilde,#e33f35,Vermelha,3
Guilhermina-Esperança,#e33f35,Vermelha,3
Patriarca,#e33f35,Vermelha,3
Artur Alvim,#e33f35,Vermelha,3
Corinthians-Itaquera,#e33f35,Vermelha,3
São Paulo-Morumbi,#ffd500,Amarela,4
Butantã,#ffd500,Amarela,4
Pinheiros,#ffd500,Amarela,4
Faria Lima,#ffd500,Amarela,4
Fradique Coutinho,#ffd500,Amarela,4
Oscar Freire,#ffd500,Amarela,4
Paulista,#ffd500,Amarela,4
Higienópolis-Mackenzie,#ffd500,Amarela,4
Capão Redondo,#7e00f8,Lilás,5
Campo Limpo,#7e00f8,Lilás,5
Vila das Belezas,#7e00f8,Lilás,5
Giovanni Gronchi,#7e00f8,Lilás,5
Santo Amaro,#7e00f8,Lilás,5
Largo Treze,#7e00f8,Lilás,5
Adolfo Pinheiro,#7e00f8,Lilás,5
Alto da Boa Vista,#7e00f8,Lilás,5
Borba Gato,#7e00f8,Lilás,5
Brooklin,#7e00f8,Lilás,5
Campo Belo,#7e00f8,Lilás,5
Eucaliptos,#7e00f8,Lilás,5
Moema,#7e00f8,Lilás,5
AACD-Servidor,#7e00f8,Lilás,5
Hospital São Paulo,#7e00f8,Lilás,5
Água Branca,#a3246a,Rubi,7
Lapa,#a3246a,Rubi,7
Piqueri,#a3246a,Rubi,7
Pirituba,#a3246a,Rubi,7
Vila Clarice,#a3246a,Rubi,7
Jaraguá,#a3246a,Rubi,7
Perus,#a3246a,Rubi,7
Caieiras,#a3246a,Rubi,7
Franco da Rocha,#a3246a,Rubi,7
Baltazar Fidélis,#a3246a,Rubi,7
Francisco Morato,#a3246a,Rubi,7
Botujuru,#a3246a,Rubi,7
Campo Limpo Paulista,#a3246a,Rubi,7
Várzea Paulista,#a3246a,Rubi,7
Jundiaí,#a3246a,Rubi,7
Júlio Prestes,#a6a49b,Diamante,8
Domingos de Moraes,#a6a49b,Diamante,8
Imperatriz Leopoldina,#a6a49b,Diamante,8
Presidente Altino,#a6a49b,Diamante,8
Osasco,#a6a49b,Diamante,8
Comandante Sampaio,#a6a49b,Diamante,8
Quitaúna,#a6a49b,Diamante,8
General Miguel Costa (ex km 21),#a6a49b,Diamante,8
Carapicuíba,#a6a49b,Diamante,8
Santa Terezinha,#a6a49b,Diamante,8
Antônio João,#a6a49b,Diamante,8
Barueri,#a6a49b,Diamante,8
Jardim Belval,#a6a49b,Diamante,8
Jardim Silveira,#a6a49b,Diamante,8
Jandira,#a6a49b,Diamante,8
Sagrado Coração,#a6a49b,Diamante,8
Engenheiro Cardoso,#a6a49b,Diamante,8
Itapevi,#a6a49b,Diamante,8
Santa Rita,#a6a49b,Diamante,8
Amador Bueno,#a6a49b,Diamante,8
