Source,Target,Weight
A01,A02,1.2
A02,A01,1.2
A02,A03,0.9
A03,A02,0.9
A03,A04,1.1
A04,A03,1.1
A04,A05,1.6
A05,A04,1.6
A05,A06,0.7
A06,A05,0.7
A06,A07,1.4
A07,A06,1.4
A07,A08,1.1
A08,A07,1.1
A08,A09,1.5
A08,I04,0
A09,A08,1.5
A09,A10,1
A09,E20,0
A10,A09,1
A10,A11,0.9
A10,G08,0
A11,A10,0.9
A11,A12,0.8
A11,H09,0
A12,A11,0.8
A12,A13,0.8
A13,A12,0.8
A13,A14,0.8
A13,G11,0
A13,T10,0
A14,A13,0.8
A14,A15,0.7
A14,H13,0
A15,A14,0.7
A15,A16,0.7
A15,S09,0
A16,A15,0.7
A16,A17,0.7
A17,A16,0.7
A17,A18,0.9
A17,E11,0
A18,A17,0.9
A18,A19,0.7
A18,G19,0
A19,A18,0.7
A19,A20,0.8
A20,A19,0.8
A20,Z14,0
C01,C02,1
C02,C01,1
C02,C03,1.2
C03,C02,1.2
C03,C04,0.9
C03,F15,0
C04,C03,0.9
C04,C05,1.4
C04,G02,0
C04,Z02,0
C05,C04,1.4
C05,C06,1.1
C06,C05,1.1
C06,C07,0.8
C07,C06,0.8
C07,C08,0.8
C07,M14,0
C07,N06,0
C07,G06,0
C08,C07,0.8
C08,C09,0.8
C08,M15,0
C08,H06,0
C09,C08,0.8
C09,C10,0.7
C09,I08,0
C09,H07,0
C09,Y18,0
C10,C09,0.7
C10,C11,0.7
C11,C10,0.7
C11,C12,1.3
C11,I09,0
C11,M18,0
C11,Z08,0
C12,C11,1.3
C12,C13,1.2
C12,S07,0
C12,M19,0
C13,C12,1.2
C13,C14,1.2
C14,C13,1.2
C14,C15,1
C15,C14,1
C15,C16,0.9
C16,C15,0.9
C16,C17,1.7
C17,C16,1.7
C17,C18,2.6
C18,C17,2.6
C18,C19,2.6
C18,H21,0
C18,H22,0
C19,C18,2.6
C19,C20,2.1
C20,C19,2.1
E01,E02,1.4
E01,S01,0
E01,M08,0
E01,E27,0
E01,E28,0.8
E02,E01,1.4
E02,E03,1
E02,F12,0
E03,E02,1
E03,E04,0.6
E04,E03,0.6
E04,E05,1
E05,E04,1
E05,E06,1
E06,E05,1
E06,E07,1
E06,T06,0
E06,Y13,0
E06,N10,0
E07,E06,1
E07,E08,0.8
E07,I12,0
E07,N11,0
E07,M11,0
E08,E07,0.8
E08,E09,1.1
E08,M21,0
E09,E08,1.1
E09,E10,0.8
E09,G15,0
E09,H16,0
E10,E09,0.8
E10,E11,1
E11,E10,1
E11,E12,1.2
E11,A17,0
E12,E11,1.2
E12,E13,1
E13,E12,1
E13,E14,0.6
E13,S11,0
E14,E13,0.6
E14,E15,1.2
E14,Z11,0
E15,E14,1.2
E15,E16,1.4
E15,T12,0
E16,E15,1.4
E16,E17,0.8
E16,Y21,0
E17,E16,0.8
E17,E18,1.5
E18,E17,1.5
E18,E19,0.9
E19,E18,0.9
E19,E20,0.9
E20,E19,0.9
E20,E21,1.3
E20,A09,0
E21,E20,1.3
E21,E22,0.8
E22,E21,0.8
E22,E23,1.1
E22,N04,0
E23,E22,1.1
E23,E24,1.3
E23,H04,0
E24,E23,1.3
E24,E25,1.2
E24,Z03,0
E24,G04,0
E25,E24,1.2
E25,E26,1.5
E26,E25,1.5
E26,E27,0.6
E27,E26,0.6
E27,E28,0.8
E27,E01,0
E27,S01,0
E27,M08,0
E28,E27,0.8
E28,E29,0.8
E28,E01,0.8
E29,E28,0.8
E29,E30,1.2
E30,E29,1.2
E30,E31,1
E31,E30,1
E31,E32,0.8
E32,E31,0.8
E32,E33,1.3
E33,E32,1.3
E33,E34,1.6
E34,E33,1.6
E34,E35,1.6
E35,E34,1.6
E35,E36,0.9
E36,E35,0.9
E36,E37,1.5
E37,E36,1.5
E37,E38,1.4
E38,E37,1.4
F01,F02,2.2
F01,Y01,0
F02,F01,2.2
F02,F03,1.4
F02,Y02,0
F03,F02,1.4
F03,F04,1.8
F03,Y03,0
F04,F03,1.8
F04,F05,1.4
F04,Y04,0
F05,F04,1.4
F05,F06,1.5
F05,Y05,0
F06,F05,1.5
F06,F07,1.1
F06,Y06,0
F07,F06,1.1
F07,F08,1
F07,Y07,0
F08,F07,1
F08,F09,0.9
F08,Y08,0
F09,F08,0.9
F09,F10,1.8
F09,Y09,0
F09,M25,0
F10,F09,1.8
F10,F11,1.5
F11,F10,1.5
F11,F12,0.9
F12,F11,0.9
F12,F13,1.1
F12,E02,0
F13,F12,1.1
F13,F14,1.4
F13,S02,0
F13,M09,0
F14,F13,1.4
F14,F15,1.2
F15,F14,1.2
F15,F16,1
F15,C03,0
F16,F15,1
F16,G01,0
F16,Z01,0
G01,G02,1.3
G01,F16,0
G01,Z01,0
G02,G01,1.3
G02,G03,0.7
G02,C04,0
G02,Z02,0
G03,G02,0.7
G03,G04,0.7
G04,G03,0.7
G04,G05,1.3
G04,E24,0
G04,Z03,0
G05,G04,1.3
G05,G06,0.9
G05,M13,0
G05,N07,0
G05,Z04,0
G05,Y16,0
G06,G05,0.9
G06,G07,0.6
G06,C07,0
G06,M14,0
G06,N06,0
G07,G06,0.6
G07,G08,0.8
G08,G07,0.8
G08,G09,0.9
G08,A10,0
G09,G08,0.9
G09,G10,0.7
G09,M16,0
G09,H08,0
G10,G09,0.7
G10,G11,0.7
G11,G10,0.7
G11,G12,0.6
G11,T10,0
G11,A13,0
G12,G11,0.6
G12,G13,0.7
G12,Z09,0
G13,G12,0.7
G13,G14,1.1
G14,G13,1.1
G14,G15,0.6
G15,G14,0.6
G15,G16,0.8
G15,E09,0
G15,H16,0
G16,G15,0.8
G16,G17,0.7
G16,H17,0
G17,G16,0.7
G17,G18,0.7
G18,G17,0.7
G18,G19,0.8
G19,G18,0.8
G19,A18,0
H01,H02,1
H02,H01,1
H02,H03,1.5
H03,H02,1.5
H03,H04,1.7
H04,H03,1.7
H04,H05,1.5
H04,E23,0
H05,H04,1.5
H05,H06,0.8
H06,H05,0.8
H06,H07,0.5
H06,M15,0
H06,C08,0
H07,H06,0.5
H07,H08,1.2
H07,I08,0
H07,C09,0
H07,Y18,0
H08,H07,1.2
H08,H09,0.4
H08,M16,0
H08,G09,0
H09,H08,0.4
H09,H10,0.4
H09,A11,0
H10,H09,0.4
